feature,shap_importance
feature_218,0.00058822887
feature_434,0.00058357354
feature_122,0.00057821575
feature_375,0.00056783133
feature_376,0.00056724955
feature_306,0.00054292066
feature_301,0.00054146146
feature_385,0.0005265114
feature_49,0.00051341986
feature_311,0.00048788133
feature_378,0.00048515704
feature_35,0.0004717215
feature_145,0.00046957383
feature_71,0.00046420592
feature_6,0.00042853324
feature_266,0.00040444496
feature_365,0.00039069788
feature_91,0.0003752
feature_98,0.00035958906
feature_67,0.0003542458
feature_258,0.00035093253
feature_118,0.00034404523
feature_104,0.000317289
feature_368,0.00031474265
feature_46,0.0003145131
feature_246,0.00029130914
feature_371,0.0002840733
feature_339,0.00025106996
feature_252,0.0002484336
feature_299,0.00023095742
feature_80,0.00023045485
feature_240,0.00021733639
feature_283,0.00020345642
feature_248,0.00019908734
feature_103,0.00019335671
feature_25,0.00019319687
feature_397,0.00018795802
feature_43,0.00018510451
feature_361,0.00018184436
feature_161,0.00017654667
feature_151,0.00017182641
feature_154,0.00016991835
feature_76,0.00016554886
feature_363,0.00016429844
feature_256,0.00015307145
feature_172,0.00013761756
feature_219,0.00013122527
feature_2,0.00012432256
feature_127,0.00011613205
feature_26,0.00010907074
feature_153,9.3752846e-05
feature_3,8.763033e-05
feature_81,7.492517e-05
feature_165,6.228743e-05
feature_242,5.0792187e-05
feature_87,3.97123e-05
feature_48,2.2220267e-05
feature_124,2.041457e-05
feature_403,0.0
feature_358,0.0
feature_402,0.0
feature_367,0.0
feature_366,0.0
feature_420,0.0
feature_391,0.0
feature_393,0.0
feature_8,0.0
feature_400,0.0
feature_360,0.0
feature_359,0.0
feature_357,0.0
feature_369,0.0
feature_356,0.0
feature_394,0.0
feature_416,0.0
feature_398,0.0
feature_31,0.0
feature_7,0.0
feature_443,0.0
feature_33,0.0
feature_17,0.0
feature_351,0.0
feature_421,0.0
feature_370,0.0
feature_428,0.0
feature_410,0.0
feature_386,0.0
feature_384,0.0
feature_406,0.0
feature_438,0.0
feature_350,0.0
feature_383,0.0
feature_382,0.0
feature_381,0.0
feature_437,0.0
feature_409,0.0
feature_388,0.0
feature_19,0.0
feature_389,0.0
feature_396,0.0
feature_377,0.0
feature_423,0.0
feature_412,0.0
feature_422,0.0
feature_436,0.0
feature_24,0.0
feature_28,0.0
feature_413,0.0
feature_392,0.0
feature_300,0.0
feature_34,0.0
feature_244,0.0
feature_217,0.0
feature_105,0.0
feature_102,0.0
feature_100,0.0
feature_97,0.0
feature_95,0.0
feature_93,0.0
feature_89,0.0
feature_88,0.0
feature_84,0.0
feature_110,0.0
feature_249,0.0
feature_251,0.0
feature_257,0.0
feature_264,0.0
feature_68,0.0
feature_267,0.0
feature_66,0.0
feature_63,0.0
feature_61,0.0
feature_109,0.0
feature_111,0.0
feature_274,0.0
feature_132,0.0
feature_157,0.0
feature_159,0.0
feature_167,0.0
feature_176,0.0
feature_141,0.0
feature_140,0.0
feature_139,0.0
feature_183,0.0
feature_134,0.0
feature_130,0.0
feature_112,0.0
feature_189,0.0
feature_129,0.0
feature_196,0.0
feature_120,0.0
feature_119,0.0
feature_117,0.0
feature_116,0.0
feature_114,0.0
feature_113,0.0
feature_58,0.0
feature_275,0.0
feature_347,0.0
feature_331,0.0
feature_320,0.0
feature_322,0.0
feature_323,0.0
feature_324,0.0
feature_42,0.0
feature_327,0.0
feature_328,0.0
feature_41,0.0
feature_330,0.0
feature_40,0.0
feature_44,0.0
feature_39,0.0
feature_334,0.0
feature_335,0.0
feature_336,0.0
feature_337,0.0
feature_340,0.0
feature_342,0.0
feature_343,0.0
feature_36,0.0
feature_319,0.0
